date,Open,High,Low,Close,Pair,Weekly_Return
2024-11-22,1.05343,1.06101,1.03321,1.04174,EUR/USD,-1.1791267063187116
2024-11-29,1.04767,1.05974,1.04249,1.05774,EUR/USD,1.535891873212103
2024-12-06,1.05705,1.06299,1.04606,1.0568,EUR/USD,-0.08886872010134272
2024-12-13,1.05611,1.05946,1.0453,1.05027,EUR/USD,-0.6179031037093052
2024-12-20,1.04895,1.05345,1.03429,1.04296,EUR/USD,-0.6960115018042945
2024-12-27,1.04317,1.04466,1.03835,1.04262,EUR/USD,-0.03259952443046554
2025-01-03,1.04317,1.04587,1.02241,1.03089,EUR/USD,-1.1250503539161016
2025-01-10,1.03057,1.0437,1.02131,1.02469,EUR/USD,-0.6014220721900498
2025-01-17,1.02415,1.03548,1.01778,1.02716,EUR/USD,0.24104851223296642
2025-01-24,1.02804,1.05217,1.02663,1.05054,EUR/USD,2.2761789789321973
2025-01-31,1.04802,1.05335,1.035,1.0367,EUR/USD,-1.317417708987767
2025-02-07,1.02482,1.04429,1.02109,1.0328,EUR/USD,-0.3761936915211761
2025-02-14,1.02874,1.05144,1.02858,1.04919,EUR/USD,1.5869481022463328
2025-02-21,1.04869,1.05066,1.04008,1.04567,EUR/USD,-0.3354969071378888
2025-02-28,1.04688,1.05289,1.03598,1.03774,EUR/USD,-0.7583654499029313
2025-03-07,1.04048,1.08888,1.03885,1.08326,EUR/USD,4.386455181451976
2025-03-14,1.08474,1.09475,1.08049,1.08788,EUR/USD,0.42649040858151466
2025-03-21,1.08788,1.09549,1.07971,1.08161,EUR/USD,-0.5763503327572916
2025-03-28,1.0815,1.08584,1.07331,1.08284,EUR/USD,0.11371936280175632
2025-04-04,1.10519,1.11069,1.09293,1.09618,EUR/USD,1.2319456244689775
2024-04-05,1.65679,1.65725,1.64143,1.64728,EUR/AUD,
2024-04-12,1.64796,1.65189,1.63705,1.64676,EUR/AUD,-0.0315671895488312
2024-04-19,1.64513,1.66824,1.64146,1.66042,EUR/AUD,0.8295076392431211
2024-04-26,1.66062,1.66226,1.63494,1.63688,EUR/AUD,-1.4177135905373395
2024-05-03,1.63777,1.64969,1.62357,1.62823,EUR/AUD,-0.5284443575582665
2024-05-10,1.62766,1.63835,1.62189,1.63086,EUR/AUD,0.1615250916639388
2024-05-17,1.63127,1.63699,1.62233,1.62369,EUR/AUD,-0.4396453404951872
2024-05-24,1.62401,1.64057,1.62139,1.63644,EUR/AUD,0.7852484156458228
2024-05-31,1.63673,1.63787,1.62754,1.63063,EUR/AUD,-0.3550389870694892
2024-06-07,1.63069,1.64209,1.62539,1.6413,EUR/AUD,0.6543483193612198
2024-06-14,1.63571,1.63878,1.61501,1.61832,EUR/AUD,-1.4001096691646842
2024-06-21,1.61908,1.62631,1.60275,1.60998,EUR/AUD,-0.5153492510751922
2024-06-28,1.61015,1.61613,1.5998,1.60639,EUR/AUD,-0.22298413644890047
2024-07-05,1.60821,1.61777,1.60434,1.60621,EUR/AUD,-0.01120524903666098
2024-07-12,1.60432,1.60907,1.60236,1.60748,EUR/AUD,0.0790681168713947
2024-07-19,1.60779,1.62873,1.60614,1.62803,EUR/AUD,1.2783984870729403
2024-07-26,1.62789,1.66442,1.6265,1.65775,EUR/AUD,1.8255191857643904
2024-08-02,1.65764,1.67694,1.64771,1.67594,EUR/AUD,1.09727039662193
2024-08-09,1.67549,1.71847,1.65364,1.66095,EUR/AUD,-0.8944234280463537
2024-08-16,1.66187,1.67487,1.65199,1.65323,EUR/AUD,-0.4647942442578046
2024-08-23,1.65419,1.65826,1.64512,1.64671,EUR/AUD,-0.39437948742764295
2024-08-30,1.64716,1.65154,1.6258,1.63315,EUR/AUD,-0.8234601113735751
2024-09-06,1.63313,1.66296,1.62906,1.66253,EUR/AUD,1.7989774362428435
2024-09-13,1.6622,1.66313,1.64532,1.6518,EUR/AUD,-0.6454018874847423
2024-09-20,1.65235,1.65362,1.63174,1.63988,EUR/AUD,-0.7216370020583618
2024-09-27,1.64061,1.64076,1.61176,1.61704,EUR/AUD,-1.392784837914962
2024-10-04,1.61796,1.61976,1.60048,1.6153,EUR/AUD,-0.10760401721664481
2024-10-11,1.61457,1.63537,1.61107,1.61985,EUR/AUD,0.28168142140778674
2024-10-18,1.62175,1.63282,1.61344,1.62075,EUR/AUD,0.05556070006480507
2024-10-25,1.62004,1.63624,1.61397,1.63475,EUR/AUD,0.8637976245565282
2024-11-01,1.6314,1.66002,1.63087,1.65168,EUR/AUD,1.0356323596880435
2024-11-08,1.64558,1.65447,1.61627,1.62845,EUR/AUD,-1.4064467693500005
2024-11-15,1.62798,1.63544,1.61833,1.63085,EUR/AUD,0.1473794098682868
2024-11-22,1.63045,1.63625,1.59662,1.60229,EUR/AUD,-1.7512340190698028
2024-11-29,1.60439,1.63079,1.60041,1.62428,EUR/AUD,1.372410737132479
2024-12-06,1.62305,1.65619,1.61587,1.65384,EUR/AUD,1.8198832713571589
2024-12-13,1.65169,1.6578,1.63511,1.65116,EUR/AUD,-0.16204711459391063
2024-12-20,1.65113,1.67166,1.64751,1.66853,EUR/AUD,1.0519876935003225
2024-12-27,1.66681,1.68032,1.66201,1.67714,EUR/AUD,0.516023086189632
2025-01-03,1.67856,1.67881,1.64901,1.65816,EUR/AUD,-1.1316884696566776
2025-01-10,1.65897,1.66892,1.65225,1.66684,EUR/AUD,0.5234718000675542
2025-01-17,1.66583,1.66768,1.64844,1.6585,EUR/AUD,-0.5003479638117647
2025-01-24,1.65831,1.66831,1.6519,1.66208,EUR/AUD,0.2158577027434383
2025-01-31,1.66221,1.67814,1.6621,1.66649,EUR/AUD,0.26533018867924696
